,Unnamed: 0,Id,Purchase,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE,Primary Label,primary_probability,contest_id,contestant_id,won,probability,posterior,in_sample,secondary_probability,primary_brier,secondary_brier
0,0,1,CH,237,1,1.75,1.99,0.0,0.0,0,0,0.5,1.99,1.75,0.24,No,0.0,0.0,0.24,1,CH,0.6658,0,1,1,0.6658,0.925925925925926,1,0.8027690017808172,0.11168964000000003,0.03890006665853528
1,1,2,CH,239,1,1.75,1.99,0.0,0.3,0,1,0.6,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,CH,0.6877,1,1,1,0.6877,0.9314121037463976,1,0.8101459792313352,0.09753129000000002,0.03604454920202859
2,2,3,CH,245,1,1.86,2.09,0.17,0.0,0,0,0.68,2.09,1.69,0.4,No,0.0,0.091398,0.23,1,CH,0.9561,2,1,1,0.9561,0.9873843566021868,1,0.9522259473012734,0.0019272100000000045,0.0022823601112607053
3,3,4,MM,227,1,1.69,1.69,0.0,0.0,0,0,0.4,1.69,1.69,0.0,No,0.0,0.0,0.0,1,MM,0.8206,3,0,1,0.1794,0.8345864661654135,1,0.7332192511318635,0.03218436,0.07117196796664373
4,4,5,CH,228,7,1.69,1.69,0.0,0.0,0,0,0.956535,1.69,1.69,0.0,Yes,0.0,0.0,0.0,0,CH,0.9857,4,1,1,0.9857,0.9969647915823552,1,0.9522259473012734,0.00020448999999999942,0.0022823601112607053
5,5,6,CH,230,7,1.69,1.99,0.0,0.0,0,1,0.965228,1.99,1.69,0.3,Yes,0.0,0.0,0.3,0,CH,0.9831,5,1,1,0.9831,0.9930824008138353,1,0.9522259473012734,0.00028561000000000087,0.0022823601112607053
6,6,7,CH,232,7,1.69,1.99,0.0,0.4,1,1,0.972182,1.59,1.69,-0.1,Yes,0.201005,0.0,0.3,0,CH,0.9733,6,1,1,0.9733,0.992563519933898,1,0.9522259473012734,0.0007128899999999972,0.0022823601112607053
7,7,8,CH,234,7,1.75,1.99,0.0,0.4,1,0,0.977746,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0,CH,0.9808,7,1,1,0.9808,0.9942915392456676,1,0.9522259473012734,0.0003686399999999998,0.0022823601112607053
8,8,9,CH,235,7,1.75,1.99,0.0,0.4,0,0,0.982197,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0,CH,0.9815,8,1,1,0.9815,0.9944965348552792,1,0.9522259473012734,0.00034224999999999853,0.0022823601112607053
9,9,10,CH,238,7,1.75,1.99,0.0,0.4,0,0,0.985757,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0,CH,0.9797,9,1,1,0.9797,0.9924551386623164,1,0.9522259473012734,0.0004120899999999994,0.0022823601112607053
10,10,11,CH,240,7,1.86,2.09,0.0,0.0,0,0,0.988606,2.09,1.86,0.23,Yes,0.0,0.0,0.23,0,CH,0.9839,10,1,1,0.9839,0.994098494098494,1,0.9522259473012734,0.0002592100000000001,0.0022823601112607053
11,11,12,CH,263,7,1.86,2.13,0.27,0.0,0,0,0.990885,2.13,1.59,0.54,Yes,0.0,0.145161,0.27,0,CH,0.9959,11,1,1,0.9959,0.9983922829581994,1,0.9522259473012734,1.680999999999994e-05,0.0022823601112607053
12,12,13,CH,276,7,1.99,2.13,0.0,0.54,0,1,0.992708,1.59,1.99,-0.4,Yes,0.253521,0.0,0.14,0,CH,0.9618,12,1,1,0.9618,0.989412497405024,1,0.9522259473012734,0.001459240000000001,0.0022823601112607053
13,13,14,CH,268,7,1.86,2.13,0.0,0.0,0,0,0.68,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9661,13,1,1,0.9661,0.993178999586606,1,0.9522259473012734,0.0011492100000000027,0.0022823601112607053
14,14,15,CH,278,7,2.06,2.13,0.0,0.0,0,0,0.744,2.13,2.06,0.07,Yes,0.0,0.0,0.07,0,CH,0.9631,14,1,1,0.9631,0.9912953367875648,1,0.9522259473012734,0.0013616100000000033,0.0022823601112607053
15,15,16,CH,278,7,2.06,2.13,0.0,0.0,0,0,0.7952,2.13,2.06,0.07,Yes,0.0,0.0,0.07,0,CH,0.9697,15,1,1,0.9697,0.9906677727084198,1,0.9522259473012734,0.0009180899999999997,0.0022823601112607053
16,16,17,MM,240,1,1.75,1.99,0.0,0.3,0,1,0.5,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,MM,0.6471,16,0,1,0.3529,0.8726549175667994,1,0.7332192511318635,0.12453840999999999,0.07117196796664373
17,17,18,MM,268,2,1.86,2.18,0.0,0.0,0,1,0.4,2.18,1.86,0.32,No,0.0,0.0,0.32,2,MM,0.6559,17,0,1,0.3440999999999999,0.8762945914844649,1,0.7332192511318635,0.11840480999999997,0.07117196796664373
18,18,19,MM,269,2,1.86,2.18,0.0,0.0,0,0,0.32,2.18,1.86,0.32,No,0.0,0.0,0.32,2,MM,0.5478,18,0,1,0.4522,0.8873177198409191,1,0.6615662249986568,0.20448484000000003,0.11453742006165979
19,19,20,CH,254,7,1.86,2.18,0.0,0.0,0,0,0.5,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.8511,19,1,1,0.8511,0.9683544303797468,1,0.8562431183209451,0.02217121000000001,0.02066604103008578
20,20,21,CH,257,7,1.86,2.18,0.0,0.0,0,0,0.6,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.9375,20,1,1,0.9375,0.9807938540332908,1,0.9473137643766814,0.00390625,0.0027758394241558506
21,21,22,CH,258,1,1.76,2.18,0.0,0.0,0,0,0.68,2.18,1.76,0.42,No,0.0,0.0,0.42,1,CH,0.9583,21,1,1,0.9583,0.9891531080517312,1,0.9522259473012734,0.0017388899999999966,0.0022823601112607053
22,22,23,CH,259,7,1.86,2.18,0.0,0.0,0,0,0.744,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.9761,22,1,1,0.9761,0.9963061768930844,1,0.9522259473012734,0.0005712100000000016,0.0022823601112607053
23,23,24,CH,264,7,1.86,2.13,0.37,0.0,1,0,0.7952,2.13,1.49,0.64,Yes,0.0,0.198925,0.27,0,CH,0.992,23,1,1,0.992,0.9969739761952794,1,0.9522259473012734,6.400000000000012e-05,0.0022823601112607053
24,24,25,CH,268,7,1.86,2.13,0.0,0.0,0,0,0.83616,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9851,24,1,1,0.9851,0.994724025974026,1,0.9522259473012734,0.00022201000000000073,0.0022823601112607053
25,25,26,CH,269,7,1.86,2.13,0.27,0.0,1,0,0.868928,2.13,1.59,0.54,Yes,0.0,0.145161,0.27,0,CH,0.9933,25,1,1,0.9933,0.997583081570997,1,0.9522259473012734,4.489000000000053e-05,0.0022823601112607053
26,26,27,CH,271,7,1.86,2.13,0.0,0.0,0,0,0.895142,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9892,26,1,1,0.9892,0.996761789111516,1,0.9522259473012734,0.00011664000000000069,0.0022823601112607053
27,27,28,CH,272,7,1.86,2.13,0.0,0.0,0,0,0.916114,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9899,27,1,1,0.9899,0.9973747980613892,1,0.9522259473012734,0.00010200999999999995,0.0022823601112607053
28,28,29,CH,274,7,1.86,2.13,0.47,0.54,1,0,0.932891,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0,CH,0.9864,28,1,1,0.9864,0.9959538741654864,1,0.9522259473012734,0.00018495999999999853,0.0022823601112607053
29,29,30,CH,278,7,2.06,2.13,0.0,0.0,0,0,0.946313,2.13,2.06,0.07,Yes,0.0,0.0,0.07,0,CH,0.9886,29,1,1,0.9886,0.9963636363636365,1,0.9522259473012734,0.00012995999999999922,0.0022823601112607053
30,30,31,CH,246,2,1.89,2.09,0.0,0.0,0,0,0.5,2.09,1.89,0.2,No,0.0,0.0,0.2,2,CH,0.6907,30,1,1,0.6907,0.9376646180860404,1,0.8027690017808172,0.09566649,0.03890006665853528
31,31,32,CH,265,7,1.86,2.13,0.37,0.0,1,0,0.6,2.13,1.49,0.64,Yes,0.0,0.198925,0.27,0,CH,0.9761,31,1,1,0.9761,0.9930342143003484,1,0.9522259473012734,0.0005712100000000016,0.0022823601112607053
32,32,33,MM,275,2,1.96,2.18,0.0,0.8,0,1,0.68,1.38,1.96,-0.58,No,0.366972,0.0,0.22,2,MM,0.6441,32,0,1,0.3559,0.8656798245614035,1,0.7497016185155788,0.12666481,0.06264927977372084
33,33,34,MM,232,2,1.69,1.69,0.0,0.0,1,0,0.68,1.69,1.69,0.0,No,0.0,0.0,0.0,2,MM,0.5234,33,0,1,0.4766,0.8889363519863306,1,0.5820741761773774,0.22714756000000003,0.17466199421781775
34,34,35,CH,251,3,1.99,2.23,0.0,0.0,0,0,0.544,2.23,1.99,0.24,No,0.0,0.0,0.24,3,CH,0.8364,34,1,1,0.8364,0.9667940754897276,1,0.8636200957714631,0.02676495999999999,0.018599478277384885
35,35,36,CH,256,3,1.99,2.29,0.0,0.0,0,0,0.6352,2.29,1.99,0.3,No,0.0,0.0,0.3,3,CH,0.9143,35,1,1,0.9143,0.978270317253368,1,0.9473137643766814,0.0073444899999999995,0.0027758394241558506
36,36,37,CH,258,1,1.76,2.18,0.0,0.0,0,0,0.70816,2.18,1.76,0.42,No,0.0,0.0,0.42,1,CH,0.9649,36,1,1,0.9649,0.9887780548628428,1,0.9522259473012734,0.0012320100000000015,0.0022823601112607053
37,37,38,CH,277,1,1.99,2.13,0.24,0.0,0,0,0.7952,2.13,1.75,0.38,No,0.0,0.120603,0.14,1,CH,0.9793,37,1,1,0.9793,0.9946764946764948,1,0.9522259473012734,0.0004284900000000021,0.0022823601112607053
38,38,39,CH,271,4,1.99,2.09,0.1,0.4,1,0,0.4,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,4,CH,0.5806,38,1,1,0.5806,0.9151724137931034,1,0.6911127286554044,0.17589636,0.09541134639870982
