,Unnamed: 0,Id,Purchase,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE,Label,Score,contest_id,contestant_id,won,probability,market_dividend,ability,posterior,prior
0,0,1,CH,237,1,1.75,1.99,0.0,0.0,0,0,0.5,1.99,1.75,0.24,No,0.0,0.0,0.24,1,CH,0.6658,0,1,1,0.6658,1.5019525382997898,-0.2611195589013312,0.9259259259259259,0.664
1,1070,1,CH,237,1,1.75,1.99,0.0,0.0,0,0,0.5,1.99,1.75,0.24,No,0.0,0.0,0.24,1,CH,0.6658,0,0,0,0.3342,2.992220227408737,0.3453193864153365,0.07407407407407407,0.33599999999999997
2,1071,2,CH,239,1,1.75,1.99,0.0,0.3,0,1,0.6,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,CH,0.6877,1,0,0,0.3123,3.202049311559398,0.3974918171838231,0.0685878962536023,0.3122
3,1,2,CH,239,1,1.75,1.99,0.0,0.3,0,1,0.6,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,CH,0.6877,1,1,1,0.6877,1.4541224371092047,-0.2947943654787774,0.9314121037463977,0.6878
4,2,3,CH,245,1,1.86,2.09,0.17,0.0,0,0,0.68,2.09,1.69,0.4,No,0.0,0.091398,0.23,1,CH,0.9561,2,1,1,0.9561,1.045915699194645,-0.6306332478220535,0.9873843566021867,0.9526
5,1072,3,CH,245,1,1.86,2.09,0.17,0.0,0,0,0.68,2.09,1.69,0.4,No,0.0,0.091398,0.23,1,CH,0.9561,2,0,0,0.0439,22.779043280182208,1.7852431320942448,0.012615643397813292,0.0474
6,3,4,MM,227,1,1.69,1.69,0.0,0.0,0,0,0.4,1.69,1.69,0.0,No,0.0,0.0,0.0,1,MM,0.8206,3,0,1,0.1794,5.574136008918617,0.8287398948806554,0.8345864661654135,0.1906
7,1073,4,MM,227,1,1.69,1.69,0.0,0.0,0,0,0.4,1.69,1.69,0.0,No,0.0,0.0,0.0,1,CH,0.8206,3,1,0,0.8206,1.2186205215695831,-0.4702162593991323,0.16541353383458646,0.8094
8,4,5,CH,228,7,1.69,1.69,0.0,0.0,0,0,0.956535,1.69,1.69,0.0,Yes,0.0,0.0,0.0,0,CH,0.9857,4,1,1,0.9857,1.0145074566298062,-0.6597034318475958,0.9969647915823553,0.9892
9,1074,5,CH,228,7,1.69,1.69,0.0,0.0,0,0,0.956535,1.69,1.69,0.0,Yes,0.0,0.0,0.0,0,CH,0.9857,4,0,0,0.0142999999999999,69.93006993007003,2.4391994683435416,0.003035208417644708,0.010800000000000032
