,Id,Purchase,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE,Label,Score,contest_id,contestant_id,won,probability,market_dividend,ability
0,1,CH,237,1,1.75,1.99,0.0,0.0,0,0,0.5,1.99,1.75,0.24,No,0.0,0.0,0.24,1,CH,0.6531,0,1,1,0.6531,1.5311590874291838,-0.2783606929751844
1070,1,CH,237,1,1.75,1.99,0.0,0.0,0,0,0.5,1.99,1.75,0.24,No,0.0,0.0,0.24,1,CH,0.6531,0,0,0,0.3469,2.882675122513693,0.2783606929751844
1071,2,CH,239,1,1.75,1.99,0.0,0.3,0,1,0.6,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,CH,0.5064,1,1,1,0.5064,1.9747235387045816,-0.011390223553455385
1,2,CH,239,1,1.75,1.99,0.0,0.3,0,1,0.6,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,MM,0.5064,1,0,0,0.49360000000000004,2.025931928687196,0.011390223553455385
2,3,CH,245,1,1.86,2.09,0.17,0.0,0,0,0.68,2.09,1.69,0.4,No,0.0,0.091398,0.23,1,CH,0.918,2,1,1,0.918,1.0893246187363834,-0.9849595251958587
1072,3,CH,245,1,1.86,2.09,0.17,0.0,0,0,0.68,2.09,1.69,0.4,No,0.0,0.091398,0.23,1,CH,0.918,2,0,0,0.08199999999999996,12.195121951219518,0.9849595251958587
3,4,MM,227,1,1.69,1.69,0.0,0.0,0,0,0.4,1.69,1.69,0.0,No,0.0,0.0,0.0,1,MM,0.6812,3,0,1,0.3188,3.136762860727729,0.33338243478030755
1073,4,MM,227,1,1.69,1.69,0.0,0.0,0,0,0.4,1.69,1.69,0.0,No,0.0,0.0,0.0,1,CH,0.6812,3,1,0,0.6812,1.467997651203758,-0.33338243478030755
4,5,CH,228,7,1.69,1.69,0.0,0.0,0,0,0.956535,1.69,1.69,0.0,Yes,0.0,0.0,0.0,0,CH,0.9773,4,1,1,0.9773,1.0232272587741738,-1.4160240039205034
1074,5,CH,228,7,1.69,1.69,0.0,0.0,0,0,0.956535,1.69,1.69,0.0,Yes,0.0,0.0,0.0,0,CH,0.9773,4,0,0,0.022700000000000053,44.052863436123246,1.4160240039205034
1075,6,CH,230,7,1.69,1.99,0.0,0.0,0,1,0.965228,1.99,1.69,0.3,Yes,0.0,0.0,0.3,0,CH,0.9788,5,0,0,0.021199999999999997,47.169811320754725,1.4362397652576524
5,6,CH,230,7,1.69,1.99,0.0,0.0,0,1,0.965228,1.99,1.69,0.3,Yes,0.0,0.0,0.3,0,CH,0.9788,5,1,1,0.9788,1.021659174499387,-1.4362397652576524
1076,7,CH,232,7,1.69,1.99,0.0,0.4,1,1,0.972182,1.59,1.69,-0.1,Yes,0.201005,0.0,0.3,0,CH,0.9519,6,0,0,0.04810000000000003,20.790020790020776,1.1773723257549866
6,7,CH,232,7,1.69,1.99,0.0,0.4,1,1,0.972182,1.59,1.69,-0.1,Yes,0.201005,0.0,0.3,0,CH,0.9519,6,1,1,0.9519,1.0505305179115454,-1.1773723257549866
1077,8,CH,234,7,1.75,1.99,0.0,0.4,1,0,0.977746,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0,CH,0.9745,7,0,0,0.025499999999999967,39.215686274509856,1.3807771467049044
7,8,CH,234,7,1.75,1.99,0.0,0.4,1,0,0.977746,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0,CH,0.9745,7,1,1,0.9745,1.026167265264238,-1.3807771467049044
1078,9,CH,235,7,1.75,1.99,0.0,0.4,0,0,0.982197,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0,CH,0.9766,8,0,0,0.023399999999999976,42.735042735042775,1.4072411458192464
8,9,CH,235,7,1.75,1.99,0.0,0.4,0,0,0.982197,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0,CH,0.9766,8,1,1,0.9766,1.0239606799098915,-1.4072411458192464
1079,10,CH,238,7,1.75,1.99,0.0,0.4,0,0,0.985757,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0,CH,0.9777,9,0,0,0.022299999999999986,44.84304932735429,1.4210340282664438
9,10,CH,238,7,1.75,1.99,0.0,0.4,0,0,0.985757,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0,CH,0.9777,9,1,1,0.9777,1.0228086325048584,-1.4210340282664438
1080,11,CH,240,7,1.86,2.09,0.0,0.0,0,0,0.988606,2.09,1.86,0.23,Yes,0.0,0.0,0.23,0,CH,0.9906,10,0,0,0.009399999999999964,106.38297872340466,1.6631288365693557
10,11,CH,240,7,1.86,2.09,0.0,0.0,0,0,0.988606,2.09,1.86,0.23,Yes,0.0,0.0,0.23,0,CH,0.9906,10,1,1,0.9906,1.0094891984655763,-1.6631288365693557
1081,12,CH,263,7,1.86,2.13,0.27,0.0,0,0,0.990885,2.13,1.59,0.54,Yes,0.0,0.145161,0.27,0,CH,0.9965,11,0,0,0.0034999999999999476,285.71428571429,1.909198331350534
11,12,CH,263,7,1.86,2.13,0.27,0.0,0,0,0.990885,2.13,1.59,0.54,Yes,0.0,0.145161,0.27,0,CH,0.9965,11,1,1,0.9965,1.0035122930255895,-1.9091983313505343
12,13,CH,276,7,1.99,2.13,0.0,0.54,0,1,0.992708,1.59,1.99,-0.4,Yes,0.253521,0.0,0.14,0,CH,0.9434,12,1,1,0.9434,1.0599957600169598,-1.120995486788821
1082,13,CH,276,7,1.99,2.13,0.0,0.54,0,1,0.992708,1.59,1.99,-0.4,Yes,0.253521,0.0,0.14,0,CH,0.9434,12,0,0,0.056599999999999984,17.667844522968203,1.1209954867888208
13,14,CH,268,7,1.86,2.13,0.0,0.0,0,0,0.68,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9383,13,1,1,0.9383,1.0657572205051689,-1.0905119203523808
1083,14,CH,268,7,1.86,2.13,0.0,0.0,0,0,0.68,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9383,13,0,0,0.06169999999999998,16.207455429497575,1.0905119203523808
1084,15,CH,278,7,2.06,2.13,0.0,0.0,0,0,0.744,2.13,2.06,0.07,Yes,0.0,0.0,0.07,0,CH,0.9409,14,0,0,0.05910000000000004,16.92047377326564,1.1052410629325444
14,15,CH,278,7,2.06,2.13,0.0,0.0,0,0,0.744,2.13,2.06,0.07,Yes,0.0,0.0,0.07,0,CH,0.9409,14,1,1,0.9409,1.0628122010840686,-1.1052410629325444
1085,16,CH,278,7,2.06,2.13,0.0,0.0,0,0,0.7952,2.13,2.06,0.07,Yes,0.0,0.0,0.07,0,CH,0.9585,15,0,0,0.04149999999999998,24.096385542168687,1.226732793118988
15,16,CH,278,7,2.06,2.13,0.0,0.0,0,0,0.7952,2.13,2.06,0.07,Yes,0.0,0.0,0.07,0,CH,0.9585,15,1,1,0.9585,1.0432968179447053,-1.226732793118988
16,17,MM,240,1,1.75,1.99,0.0,0.3,0,1,0.5,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,MM,0.6779,16,0,1,0.32210000000000005,3.1046258925799437,0.32691250679682626
1086,17,MM,240,1,1.75,1.99,0.0,0.3,0,1,0.5,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,CH,0.6779,16,1,0,0.6779,1.475143826523086,-0.32691250679682626
1087,18,MM,268,2,1.86,2.18,0.0,0.0,0,1,0.4,2.18,1.86,0.32,No,0.0,0.0,0.32,2,CH,0.6311,17,1,0,0.6311,1.5845349389954049,-0.23719894406580733
17,18,MM,268,2,1.86,2.18,0.0,0.0,0,1,0.4,2.18,1.86,0.32,No,0.0,0.0,0.32,2,MM,0.6311,17,0,1,0.3689,2.7107617240444566,0.23719894406580733
18,19,MM,269,2,1.86,2.18,0.0,0.0,0,0,0.32,2.18,1.86,0.32,No,0.0,0.0,0.32,2,MM,0.5888,18,0,1,0.4112,2.431906614785992,0.15877338562851104
1088,19,MM,269,2,1.86,2.18,0.0,0.0,0,0,0.32,2.18,1.86,0.32,No,0.0,0.0,0.32,2,CH,0.5888,18,1,0,0.5888,1.6983695652173914,-0.15877338562851104
1089,20,CH,254,7,1.86,2.18,0.0,0.0,0,0,0.5,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.8072,19,0,0,0.19279999999999997,5.186721991701246,0.6139756909726284
19,20,CH,254,7,1.86,2.18,0.0,0.0,0,0,0.5,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.8072,19,1,1,0.8072,1.2388503468780971,-0.6139756909726284
1090,21,CH,257,7,1.86,2.18,0.0,0.0,0,0,0.6,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.8985,20,0,0,0.10150000000000003,9.85221674876847,0.9010904079862441
20,21,CH,257,7,1.86,2.18,0.0,0.0,0,0,0.6,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.8985,20,1,1,0.8985,1.1129660545353368,-0.9010904079862441
1091,22,CH,258,1,1.76,2.18,0.0,0.0,0,0,0.68,2.18,1.76,0.42,No,0.0,0.0,0.42,1,CH,0.927,21,0,0,0.07299999999999995,13.69863013698631,1.0292196773276714
21,22,CH,258,1,1.76,2.18,0.0,0.0,0,0,0.68,2.18,1.76,0.42,No,0.0,0.0,0.42,1,CH,0.927,21,1,1,0.927,1.0787486515641855,-1.0292196773276714
1092,23,CH,259,7,1.86,2.18,0.0,0.0,0,0,0.744,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.9624,22,0,0,0.03759999999999997,26.595744680851087,1.259079442027027
22,23,CH,259,7,1.86,2.18,0.0,0.0,0,0,0.744,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.9624,22,1,1,0.9624,1.0390689941812137,-1.2590794420270268
23,24,CH,264,7,1.86,2.13,0.37,0.0,1,0,0.7952,2.13,1.49,0.64,Yes,0.0,0.198925,0.27,0,CH,0.9883,23,1,1,0.9883,1.0118385105737124,-1.6046589795480912
1093,24,CH,264,7,1.86,2.13,0.37,0.0,1,0,0.7952,2.13,1.49,0.64,Yes,0.0,0.198925,0.27,0,CH,0.9883,23,0,0,0.011700000000000044,85.47008547008515,1.6046589795480912
24,25,CH,268,7,1.86,2.13,0.0,0.0,0,0,0.83616,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9793,24,1,1,0.9793,1.0211375472276116,-1.443579430289185
1094,25,CH,268,7,1.86,2.13,0.0,0.0,0,0,0.83616,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9793,24,0,0,0.02070000000000005,48.30917874396123,1.4435794302891851
25,26,CH,269,7,1.86,2.13,0.27,0.0,1,0,0.868928,2.13,1.59,0.54,Yes,0.0,0.145161,0.27,0,CH,0.9914,25,1,1,0.9914,1.0086746015735324,-1.6856067825407868
1095,26,CH,269,7,1.86,2.13,0.27,0.0,1,0,0.868928,2.13,1.59,0.54,Yes,0.0,0.145161,0.27,0,CH,0.9914,25,0,0,0.008600000000000052,116.27906976744116,1.6856067825407866
26,27,CH,271,7,1.86,2.13,0.0,0.0,0,0,0.895142,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9867,26,1,1,0.9867,1.0134792743488394,-1.5692901366367398
1096,27,CH,271,7,1.86,2.13,0.0,0.0,0,0,0.895142,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9867,26,0,0,0.013299999999999979,75.18796992481215,1.5692901366367398
27,28,CH,272,7,1.86,2.13,0.0,0.0,0,0,0.916114,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9886,27,1,1,0.9886,1.0115314586283632,-1.6116562674211719
1097,28,CH,272,7,1.86,2.13,0.0,0.0,0,0,0.916114,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0,CH,0.9886,27,0,0,0.011399999999999966,87.7192982456143,1.6116562674211719
1098,29,CH,274,7,1.86,2.13,0.47,0.54,1,0,0.932891,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0,CH,0.9901,28,0,0,0.00990000000000002,101.01010101010081,1.649354722716125
28,29,CH,274,7,1.86,2.13,0.47,0.54,1,0,0.932891,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0,CH,0.9901,28,1,1,0.9901,1.00999899000101,-1.649354722716125
29,30,CH,278,7,2.06,2.13,0.0,0.0,0,0,0.946313,2.13,2.06,0.07,Yes,0.0,0.0,0.07,0,CH,0.9857,29,1,1,0.9857,1.0145074566298062,-1.5494514500955687
1099,30,CH,278,7,2.06,2.13,0.0,0.0,0,0,0.946313,2.13,2.06,0.07,Yes,0.0,0.0,0.07,0,CH,0.9857,29,0,0,0.01429999999999998,69.93006993007003,1.5494514500955687
30,31,CH,246,2,1.89,2.09,0.0,0.0,0,0,0.5,2.09,1.89,0.2,No,0.0,0.0,0.2,2,CH,0.6175,30,1,1,0.6175,1.6194331983805668,-0.21183048191736897
1100,31,CH,246,2,1.89,2.09,0.0,0.0,0,0,0.5,2.09,1.89,0.2,No,0.0,0.0,0.2,2,CH,0.6175,30,0,0,0.38249999999999995,2.6143790849673207,0.21183048191736897
31,32,CH,265,7,1.86,2.13,0.37,0.0,1,0,0.6,2.13,1.49,0.64,Yes,0.0,0.198925,0.27,0,CH,0.9539,31,1,1,0.9539,1.048327916972429,-1.1919516442884959
1101,32,CH,265,7,1.86,2.13,0.37,0.0,1,0,0.6,2.13,1.49,0.64,Yes,0.0,0.198925,0.27,0,CH,0.9539,31,0,0,0.04610000000000003,21.691973969631224,1.1919516442884959
1102,33,MM,275,2,1.96,2.18,0.0,0.8,0,1,0.68,1.38,1.96,-0.58,No,0.366972,0.0,0.22,2,CH,0.6049,32,1,0,0.6049,1.653165812530997,-0.18792233871168107
32,33,MM,275,2,1.96,2.18,0.0,0.8,0,1,0.68,1.38,1.96,-0.58,No,0.366972,0.0,0.22,2,MM,0.6049,32,0,1,0.3951,2.531004808909137,0.18792233871168107
1103,34,MM,232,2,1.69,1.69,0.0,0.0,1,0,0.68,1.69,1.69,0.0,No,0.0,0.0,0.0,2,CH,0.7581,33,0,1,0.2419,4.133939644481191,0.49521499094311505
33,34,MM,232,2,1.69,1.69,0.0,0.0,1,0,0.68,1.69,1.69,0.0,No,0.0,0.0,0.0,2,CH,0.7581,33,1,0,0.7581,1.3190871916633689,-0.49521499094311505
34,35,CH,251,3,1.99,2.23,0.0,0.0,0,0,0.544,2.23,1.99,0.24,No,0.0,0.0,0.24,3,CH,0.6779,34,1,1,0.6779,1.475143826523086,-0.32691250679682626
1104,35,CH,251,3,1.99,2.23,0.0,0.0,0,0,0.544,2.23,1.99,0.24,No,0.0,0.0,0.24,3,CH,0.6779,34,0,0,0.32210000000000005,3.1046258925799437,0.32691250679682626
1105,36,CH,256,3,1.99,2.29,0.0,0.0,0,0,0.6352,2.29,1.99,0.3,No,0.0,0.0,0.3,3,CH,0.8308,35,0,0,0.16920000000000002,5.910165484633569,0.6776649447896297
35,36,CH,256,3,1.99,2.29,0.0,0.0,0,0,0.6352,2.29,1.99,0.3,No,0.0,0.0,0.3,3,CH,0.8308,35,1,1,0.8308,1.203659123736158,-0.6776649447896297
1106,37,CH,258,1,1.76,2.18,0.0,0.0,0,0,0.70816,2.18,1.76,0.42,No,0.0,0.0,0.42,1,CH,0.9397,36,0,0,0.06030000000000002,16.583747927031503,1.098452570048867
36,37,CH,258,1,1.76,2.18,0.0,0.0,0,0,0.70816,2.18,1.76,0.42,No,0.0,0.0,0.42,1,CH,0.9397,36,1,1,0.9397,1.0641694157709907,-1.098452570048867
1107,38,CH,277,1,1.99,2.13,0.24,0.0,0,0,0.7952,2.13,1.75,0.38,No,0.0,0.120603,0.14,1,CH,0.9693,37,0,0,0.03069999999999995,32.57328990228018,1.323214208054716
37,38,CH,277,1,1.99,2.13,0.24,0.0,0,0,0.7952,2.13,1.75,0.38,No,0.0,0.120603,0.14,1,CH,0.9693,37,1,1,0.9693,1.0316723408645414,-1.3232142080547158
38,39,CH,271,4,1.99,2.09,0.1,0.4,1,0,0.4,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,4,MM,0.6895,38,0,0,0.3105,3.2206119162640903,0.3497719386841998
1108,39,CH,271,4,1.99,2.09,0.1,0.4,1,0,0.4,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,4,CH,0.6895,38,1,1,0.6895,1.4503263234227701,-0.3497719386841998
39,40,CH,227,4,1.79,1.79,0.0,0.0,0,1,0.920961,1.79,1.79,0.0,No,0.0,0.0,0.0,4,CH,0.9097,39,1,1,0.9097,1.0992634934593823,-0.9474134912859429
1109,40,CH,227,4,1.79,1.79,0.0,0.0,0,1,0.920961,1.79,1.79,0.0,No,0.0,0.0,0.0,4,CH,0.9097,39,0,0,0.09030000000000005,11.074197120708742,0.9474134912859429
1110,41,CH,229,4,1.79,1.79,0.0,0.0,0,0,0.936769,1.79,1.79,0.0,No,0.0,0.0,0.0,4,CH,0.9605,40,0,0,0.03949999999999998,25.316455696202546,1.2433520678781536
40,41,CH,229,4,1.79,1.79,0.0,0.0,0,0,0.936769,1.79,1.79,0.0,No,0.0,0.0,0.0,4,CH,0.9605,40,1,1,0.9605,1.041124414367517,-1.2433520678781536
41,42,CH,230,4,1.79,1.79,0.0,0.0,0,0,0.949415,1.79,1.79,0.0,No,0.0,0.0,0.0,4,CH,0.9641,41,1,1,0.9641,1.0372368011617052,-1.2737173836609976
1111,42,CH,230,4,1.79,1.79,0.0,0.0,0,0,0.949415,1.79,1.79,0.0,No,0.0,0.0,0.0,4,CH,0.9641,41,0,0,0.03590000000000004,27.855153203342585,1.2737173836609976
1112,43,CH,233,4,1.79,2.09,0.0,0.0,0,0,0.959532,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9841,42,0,0,0.015900000000000025,62.89308176100619,1.519372322495162
42,43,CH,233,4,1.79,2.09,0.0,0.0,0,0,0.959532,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9841,42,1,1,0.9841,1.01615689462453,-1.5193723224951619
1113,44,CH,236,4,1.79,2.09,0.0,0.0,0,0,0.967626,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9853,43,0,0,0.014700000000000046,68.02721088435352,1.5414875252434037
43,44,CH,236,4,1.79,2.09,0.0,0.0,0,0,0.967626,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9853,43,1,1,0.9853,1.0149193139145438,-1.5414875252434037
44,45,MM,237,4,1.79,2.09,0.0,0.0,0,0,0.9741,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9861,44,1,0,0.9861,1.0140959334753068,-1.5573992570304829
1114,45,MM,237,4,1.79,2.09,0.0,0.0,0,0,0.9741,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9861,44,0,1,0.013900000000000023,71.94244604316535,1.5573992570304829
1115,46,CH,240,4,1.79,2.23,0.0,0.0,0,0,0.77928,2.23,1.79,0.44,No,0.0,0.0,0.44,4,CH,0.9614,45,0,0,0.03859999999999997,25.906735751295358,1.2508085251522232
45,46,CH,240,4,1.79,2.23,0.0,0.0,0,0,0.77928,2.23,1.79,0.44,No,0.0,0.0,0.44,4,CH,0.9614,45,1,1,0.9614,1.0401497815685459,-1.2508085251522232
46,47,CH,244,4,1.99,2.23,0.0,0.0,0,0,0.823424,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9557,46,1,1,0.9557,1.0463534581981793,-1.2050396412285993
1116,47,CH,244,4,1.99,2.23,0.0,0.0,0,0,0.823424,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9557,46,0,0,0.044300000000000006,22.57336343115124,1.2050396412285993
1117,48,CH,245,4,1.99,2.23,0.0,0.0,0,0,0.858739,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9656,47,0,0,0.034399999999999986,29.069767441860478,1.2879773076159282
47,48,CH,245,4,1.99,2.23,0.0,0.0,0,0,0.858739,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9656,47,1,1,0.9656,1.035625517812759,-1.2879773076159282
1118,49,CH,246,4,1.99,2.23,0.0,0.0,0,0,0.886992,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.972,48,0,0,0.028000000000000025,35.71428571428568,1.3527164737585478
48,49,CH,246,4,1.99,2.23,0.0,0.0,0,0,0.886992,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.972,48,1,1,0.972,1.02880658436214,-1.3527164737585475
49,50,CH,247,4,1.99,2.23,0.0,0.0,0,0,0.909593,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9763,49,1,1,0.9763,1.0242753252074157,-1.4034710521294214
1119,50,CH,247,4,1.99,2.23,0.0,0.0,0,0,0.909593,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9763,49,0,0,0.023700000000000054,42.19409282700412,1.4034710521294214
1120,51,MM,248,4,1.99,2.23,0.0,0.0,0,0,0.927675,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9793,50,0,1,0.02070000000000005,48.30917874396123,1.4435794302891851
50,51,MM,248,4,1.99,2.23,0.0,0.0,0,0,0.927675,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9793,50,1,0,0.9793,1.0211375472276116,-1.443579430289185
