,Unnamed: 0,Id,Purchase,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE,Label,Score,contest_id,contestant_id,won,probability,market_dividend,ability_lr,ability_lightgbm,ability_lda,ability_gbc
0,0,1,CH,237,1,1.75,1.99,0.0,0.0,0,0,0.5,1.99,1.75,0.24,No,0.0,0.0,0.24,1,CH,0.6326,0,1,1,0.6326,1.5807777426493834,-0.2399619177923426,-0.1845067874632115,-0.2783606929751844,-0.1614674158930781
1,1070,1,CH,237,1,1.75,1.99,0.0,0.0,0,0,0.5,1.99,1.75,0.24,No,0.0,0.0,0.24,1,CH,0.6326,0,0,0,0.3673999999999999,2.7218290691344587,0.2399619177923426,0.1845067874632115,0.2783606929751844,0.1614674158930781
2,1071,2,CH,239,1,1.75,1.99,0.0,0.3,0,1,0.6,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,CH,0.5379,1,0,0,0.4620999999999999,2.16403375892664,0.0672780161845895,0.2946087597595392,0.0113902235534553,0.2567211154936434
3,1,2,CH,239,1,1.75,1.99,0.0,0.3,0,1,0.6,1.69,1.75,-0.06,No,0.150754,0.0,0.24,1,CH,0.5379,1,1,1,0.5379,1.8590816136828403,-0.0672780161845895,-0.2946087597595392,-0.0113902235534553,-0.2567211154936434
4,2,3,CH,245,1,1.86,2.09,0.17,0.0,0,0,0.68,2.09,1.69,0.4,No,0.0,0.091398,0.23,1,CH,0.9007,2,1,1,0.9007,1.110247585211502,-0.910008732760376,-1.3996973165003064,-0.9849595251958588,-1.1216397762360644
5,1072,3,CH,245,1,1.86,2.09,0.17,0.0,0,0,0.68,2.09,1.69,0.4,No,0.0,0.091398,0.23,1,CH,0.9007,2,0,0,0.0993,10.07049345417925,0.910008732760376,1.3996973165003064,0.9849595251958588,1.1216397762360644
6,3,4,MM,227,1,1.69,1.69,0.0,0.0,0,0,0.4,1.69,1.69,0.0,No,0.0,0.0,0.0,1,MM,0.6357,3,0,1,0.3642999999999999,2.7449903925336265,0.2456713159596008,0.5800404804374012,0.3333824347803075,0.5810546273512902
7,1073,4,MM,227,1,1.69,1.69,0.0,0.0,0,0,0.4,1.69,1.69,0.0,No,0.0,0.0,0.0,1,CH,0.6357,3,1,0,0.6357,1.5730690577316344,-0.2456713159596008,-0.5800404804374012,-0.3333824347803075,-0.5810546273512902
8,4,5,CH,228,7,1.69,1.69,0.0,0.0,0,0,0.956535,1.69,1.69,0.0,Yes,0.0,0.0,0.0,0,CH,0.9845,4,1,1,0.9845,1.015744032503809,-1.5261340955532985,-0.9505854715822551,-1.4160240039205034,-0.5916974427077031
9,1074,5,CH,228,7,1.69,1.69,0.0,0.0,0,0,0.956535,1.69,1.69,0.0,Yes,0.0,0.0,0.0,0,CH,0.9845,4,0,0,0.0154999999999999,64.51612903225823,1.5261340955532985,0.9505854715822551,1.4160240039205034,0.5916974427077031
